date,msf_game_id,away_team,home_team,p_home,market_p_home,edge
20250926,148789,SEA,ARI,0.2520004588039456,0.513806287170773,-0.2618058283668274
20250928,148790,MIN,PIT,0.5601501452319029,0.4248871695680207,0.13526297566388218
20250928,148791,WAS,ATL,0.2299033233390179,0.3799472295514512,-0.15004390621243333
20250928,148792,NO,BUF,0.3174296145252281,0.9065989847715736,-0.5891693702463455
20250928,148793,CLE,DET,0.5301846800039021,0.7966101694915254,-0.26642548948762335
20250928,148794,TEN,HOU,0.3262238121116778,0.7519134336236474,-0.4256896215119696
20250928,148795,CAR,NE,0.6648579785547648,0.6517385257301808,0.013119452824584044
20250928,148796,LAC,NYG,0.5601501452319029,0.2955665024630542,0.26458364276884866
20250928,148797,PHI,TB,0.5402082283237456,0.4050285815722364,0.13517964675150917
20250928,148798,IND,LA,0.5301846800039021,0.6341463414634145,-0.10396166145951247
20250928,148799,JAX,SF,0.6374083767444845,0.6211096075778079,0.016298769166676608
20250928,148800,BAL,KC,0.6280448056219418,0.4372278664731495,0.19081693914879228
20250928,148801,CHI,LV,0.6280448056219418,0.4607930386631069,0.16725176695883487
20250929,148802,GB,DAL,0.469815319996098,0.274796097541835,0.195019222454263
20250929,148803,NYJ,MIA,0.449800646746463,0.5757575757575758,-0.12595692901111283
20250930,148804,CIN,DEN,0.5301846800039021,0.7373290060359733,-0.20714432603207122
